Trial_ID,Participant_ID,Task_Number,Task_Difficulty,Task_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Correct_Suggestion_Rank,User_Choice,Final_Command,Execution_Success,Execution_Time_Seconds,ASR_Time,LLM_Time,Confirmation_Time,Total_Latency,Retry_Count,Manual_Edit,Error_Category,Error_Details
T012,P01,12,1,Display system uptime,Display system uptime,Display system uptime,88.4,Get-ComputerInfo | Select-Object LastBootUpTime,systeminfo,Get-ComputerInfo,1,1,Get-ComputerInfo | Select-Object LastBootUpTime,Success,0.4,2.1,4.7,1.0,7.8,0,No,None,None
T013,P01,13,1,List environment variables,List environment variables,List environment variables,81.3,Get-ChildItem Env:,hostname,Get-ComputerInfo | Select-Object Name,2,3,dir,Failed,0.8,2.9,4.0,1.3,8.2,0,Yes,LLM,Command generation error
T014,P01,14,3,Create system restore point,Create ... system restore point,Create system restore point,82.8,"Checkpoint-Computer -Description ""Manual Restore Point""",date,Get-Date,3,2,dir,Failed,0.9,2.2,5.7,1.6,9.5,3,No,Environment,System environment error
T015,P01,15,2,Find files larger than 10MB,Search files larger than 10MB,Find files larger than 10MB,88.1,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},tasklist,Get-Process,1,2,dir,Failed,1.0,2.6,4.9,1.3,8.8,0,Yes,ASR,Speech recognition error
T016,P01,16,2,Save event logs to file,Export event logs to file,Export event logs to file,96.1,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",ipconfig,Get-NetIPConfiguration,1,2,dir,Success,0.9,3.1,3.5,1.6,8.2,0,No,None,None
T017,P01,17,2,Show open ports,Show open ports,Show open ports,87.2,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",Set-LoGet-Contention,Get-LoGet-Contention,1,1,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",Success,0.6,2.2,4.5,1.5,8.2,0,No,None,None
T018,P01,18,1,Display help for dir command,Display help for dir command,Display help for dir command,98.4,Get-Help dir,tasklist,Get-Process,1,1,Get-Help dir,Success,0.4,2.2,5.5,1.8,9.5,0,No,None,None
T019,P01,19,2,Rename a file,Rename a file,Rename a file,90.3,"Rename-Item ""oldname.txt"" ""newname.txt""",dir,Get-ChildItem -Name,3,1,"Rename-Item ""oldname.txt"" ""newname.txt""",Failed,0.6,2.7,5.4,0.9,9.0,0,Yes,ASR,Speech recognition error
T020,P01,20,3,Create a virtual machine,Create a virtual machine,Create a virtual machine,90.8,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",date,Get-Date,1,1,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",Success,0.6,2.6,3.8,1.0,7.4,0,No,None,None
T021,P02,1,2,Save event logs to file,Export event logs to file,Export event logs to file,89.2,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",Set-LoGet-Contention,Get-LoGet-Contention,1,1,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",Success,0.3,3.2,4.7,2.0,9.9,0,No,None,None
T022,P02,2,2,Show file permissions,Show file permissions,Show file permissions,93.5,"Get-Acl ""file.txt""",dir,Get-ChildItem -Name,1,1,"Get-Acl ""file.txt""",Success,0.7,2.2,4.9,1.5,8.6,0,No,None,None
T023,P02,3,1,Display computer name,Display computer name,Display computer name,96.6,hostname,dir,Get-ChildItem -Name,1,1,hostname,Success,1.1,2.7,4.3,0.9,7.9,0,No,None,None
T024,P02,4,2,Search for processes by name,Search for processes by name,Search for processes by name,89.2,"Get-Process -Name ""processname""",hostname,Get-ComputerInfo | Select-Object Name,1,1,"Get-Process -Name ""processname""",Success,1.4,2.2,3.8,1.3,7.3,0,No,None,None
T025,P02,5,3,Deploy a web application,Deploy a web application,Deploy a web application,83.7,"New-Item -ItemType Directory -Path ""C:\inetpub\wwwroot\app""; Copy-Item ""app_files\*"" ""C:\inetpub\wwwroot\app\"" -Recurse",hostname,Get-ComputerInfo | Select-Object Name,1,1,"New-Item -ItemType Directory -Path ""C:\inetpub\wwwroot\app""; Copy-Item ""app_files\*"" ""C:\inetpub\wwwroot\app\"" -Recurse",Success,0.8,2.4,4.8,1.7,8.9,0,No,None,None
T026,P02,6,1,Display Windows features,Display Windows features,Display Windows features,86.9,Get-WindowsFeature,dir,Get-ChildItem -Name,1,1,Get-WindowsFeature,Failed,0.5,2.9,5.2,1.7,9.8,1,No,ASR,Speech recognition error
T027,P02,7,1,Display screen resolution,Display screen resolution,Display screen resolution,77.0,Get-WmiObject -Class Win32_VideoController,dir,Get-ChildItem -Name,3,1,Get-WmiObject -Class Win32_VideoController,Failed,1.2,3.0,5.5,2.0,10.5,0,No,ASR,Speech recognition error
T028,P02,8,1,Show disk space usage,Show disk space usage,Show disk space usage,92.1,Get-WmiObject -Class Win32_LogicalDisk,tasklist,Get-Process,3,2,dir,Success,1.1,3.1,5.6,1.6,10.3,0,No,None,None
T029,P02,9,3,Decrypt a file,Decrypt a file,Decrypt a file,83.6,"Cipher /D ""file.txt""",Set-LoGet-Contentionir,Clear-Host,1,1,"Cipher /D ""file.txt""",Success,0.8,2.9,4.6,1.1,8.6,0,No,None,None
T030,P02,10,3,Compress all log files into archive,Compress all log docs into archive,Compress all log files into archive,74.6,"Get-ChildItem -Filter ""*.log"" | Compress-Archive -DestinationPath ""logs.zip""",Set-LoGet-Contentionir,Clear-Host,2,3,dir,Failed,1.2,1.9,5.4,1.3,8.6,3,No,LLM,Command generation error
T031,P02,11,2,Create file shortcut,Create symbolic link to file,Create symbolic link to file,93.6,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",dir,Get-ChildItem -Name,1,1,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Success,0.6,2.9,5.6,1.4,9.9,0,No,None,None
T032,P02,12,3,Generate system health report,Generate you know system health report,Generate system health report,77.6,"Get-ComputerInfo | Out-File ""system_report.txt""; Get-Process | Out-File ""system_report.txt"" -Append",Set-LoGet-Contention,Get-LoGet-Contention,2,3,ps,Success,0.8,2.6,5.0,0.9,8.5,0,No,None,None
T033,P02,13,3,Configure group policy,Configure group policy,Configure group policy,72.0,gpupdate /force,tasklist,Get-Process,1,2,dir,Failed,1.0,2.3,5.0,1.8,9.1,0,Yes,LLM,Command generation error
T034,P02,14,1,Display system date and time,Display system date and time,Display system date and time,94.9,Get-Date,date,Get-Date -Format 'yyyy-MM-dd',1,1,Get-Date,Success,0.4,3.1,5.2,1.8,10.1,0,No,None,None
T035,P02,15,2,Defragment hard drive,Defragment hard drive,Defragment hard drive,96.2,defrag C: /A,ipconfig,Get-NetIPConfiguration,1,1,defrag C: /A,Success,0.5,2.1,4.9,1.9,8.9,0,No,None,None
T036,P02,16,2,Check disk errors,Check disk for errors,Check disk for errors,79.3,chkdsk C: /f,whoami,Get-LocalUser,2,2,dir,Failed,0.7,1.9,5.0,0.8,7.7,0,No,Environment,System environment error
T037,P02,17,1,List recent files,List recent files,List recent files,97.5,Get-ChildItem -Path $env:USERPROFILE\Recent,dir,Get-ChildItem -Name,1,1,Get-ChildItem -Path $env:USERPROFILE\Recent,Success,1.2,2.6,4.6,1.4,8.6,0,No,None,None
T038,P02,18,1,Display system architecture,Display system architecture,Display system architecture,91.4,Get-WmiObject -Class Win32_OperatingSystem | Select-Object OSArchitecture,tasklist,Get-Process,1,1,Get-WmiObject -Class Win32_OperatingSystem | Select-Object OSArchitecture,Success,0.7,2.5,4.2,1.4,8.1,0,No,None,None
T039,P02,19,2,Flush DNS cache,Flush DNS cache,Flush DNS cache,78.1,Clear-DnsClientCache,Set-LoGet-Contention,Get-LoGet-Contention,2,2,dir,Failed,1.1,2.6,4.1,1.4,8.1,2,Yes,ASR,Speech recognition error
T040,P02,20,1,Display system information,Display system information,Display system information,92.9,Get-ComputerInfo,dir,Get-ChildItem -Name,1,1,Get-ComputerInfo,Success,0.6,2.2,4.0,1.7,7.9,0,No,None,None
T041,P03,1,1,Show Windows version,Show Windows version,Show Windows version,85.1,Get-ComputerInfo | Select-Object WindowsProductName,systeminfo,Get-ComputerInfo,3,3,Get-ChildItem -Force,Failed,0.7,2.6,4.9,1.8,9.3,3,No,LLM,Command generation error
T042,P03,2,2,Rename a file,Rename a file,Rename a file,81.6,"Rename-Item ""oldname.txt"" ""newname.txt""",Set-LoGet-Contentionir,Clear-Host,2,2,dir,Failed,0.7,2.1,4.8,1.0,7.9,0,Yes,LLM,Command generation error
T043,P03,3,2,List files by date modified,List ... docs by date modified,List files by date modified,92.1,Get-ChildItem | Sort-Object LastWriteTime -Descending,dir,Get-ChildItem -Name,1,1,Get-ChildItem | Sort-Object LastWriteTime -Descending,Success,0.9,2.7,5.6,1.4,9.7,0,No,None,None
T044,P03,4,2,Find files by name,Find files by name pattern,Find files by name pattern,89.7,"Get-ChildItem -Recurse -Name ""*pattern*""",Set-LoGet-Contention,Get-LoGet-Contention,1,1,"Get-ChildItem -Recurse -Name ""*pattern*""",Success,0.6,2.5,4.2,1.3,8.0,0,No,None,None
T045,P03,5,3,Set firewall rules,Configure firewall rules,Configure firewall rules,75.2,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",Set-LoGet-Contentionir,Clear-Host,2,2,dir,Failed,1.3,2.6,3.5,1.8,7.9,0,Yes,ASR,Speech recognition error
T046,P03,6,3,Show memory usage,Show memory usage,Show memory usage,93.4,Get-WmiObject -Class Win32_OperatingSystem,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-WmiObject -Class Win32_OperatingSystem,Success,1.1,1.9,4.3,1.2,7.4,0,No,None,None
T047,P03,7,3,Monitor CPU usage for 30 seconds,Monitor CPU like usage for 30 seconds,Monitor CPU usage for 30 seconds,85.9,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,Success,0.7,2.2,4.2,2.1,8.5,0,No,None,None
T048,P03,8,2,Show file permissions,Show file permissions,Show file permissions,88.7,"Get-Acl ""file.txt""",hostname,Get-ComputerInfo | Select-Object Name,1,1,"Get-Acl ""file.txt""",Success,0.5,2.9,4.9,1.8,9.6,0,No,None,None
T049,P03,9,3,Encrypt a file,Encrypt a file,Encrypt a file,76.5,"Cipher /E ""file.txt""",Set-LoGet-Contention,Get-LoGet-Contention,2,3,Get-ChildItem -Force,Failed,1.5,2.6,4.8,0.9,8.3,0,Yes,User,User aborted execution
T050,P03,10,3,Schedule task to run daily,Schedule task to run daily,Schedule task to run daily,86.1,"Register-ScheduledTask -Action (New-ScheduledTaskAction -Execute ""script.ps1"") -Trigger (New-ScheduledTaskTrigger -Daily -At 9am) -TaskName ""DailyTask""",systeminfo,Get-ComputerInfo,1,1,"Register-ScheduledTask -Action (New-ScheduledTaskAction -Execute ""script.ps1"") -Trigger (New-ScheduledTaskTrigger -Daily -At 9am) -TaskName ""DailyTask""",Success,1.0,2.4,3.8,1.0,7.2,0,No,None,None
T051,P03,11,1,Display computer name,Display computer name,Display computer name,74.8,hostname,ipconfig,Get-NetIPConfiguration,2,2,dir,Failed,1.3,3.0,4.8,1.7,9.5,0,No,User,User aborted execution
T052,P03,12,1,Show printer information,Show printer information,Show printer information,98.1,Get-WmiObject -Class Win32_Printer,dir,Get-ChildItem -Name,1,1,Get-WmiObject -Class Win32_Printer,Success,1.4,2.4,4.2,1.4,8.0,0,No,None,None
T053,P03,13,2,Show installed updates,Show installed updates,Show installed updates,85.6,Get-HotFix | Sort-Object InstalledOn -Descending,netstat,Get-NetTCPConnection,1,2,dir,Success,1.3,3.2,4.3,0.9,8.4,0,No,None,None
T054,P03,14,2,Find text files here,Find all text files in current directory,Find all text files in current directory,95.1,"Get-ChildItem -Filter ""*.txt""",Set-LoGet-Contentionir,Clear-Host,1,1,"Get-ChildItem -Filter ""*.txt""",Success,0.6,3.0,5.5,1.3,9.8,0,No,None,None
T055,P03,15,1,Show disk space usage,Show disk space usage,Show disk space usage,96.7,Get-WmiObject -Class Win32_LogicalDisk,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-WmiObject -Class Win32_LogicalDisk,Success,1.3,2.4,3.7,1.6,7.7,0,No,None,None
T056,P03,16,2,Delete a non-empty directory,Delete a non-empty directory,Delete a non-empty directory,89.4,"Remove-Item ""directory"" -Recurse -Force",hostname,Get-ComputerInfo | Select-Object Name,1,1,"Remove-Item ""directory"" -Recurse -Force",Success,1.0,2.8,3.9,1.0,7.7,0,No,None,None
T057,P03,17,1,List installed programs,List installed programs,List installed programs,93.0,Get-WmiObject -Class Win32_Product,date,Get-Date,1,1,Get-WmiObject -Class Win32_Product,Success,0.6,2.7,5.6,1.4,9.7,0,No,None,None
T058,P03,18,1,Display CPU information,Display CPU information,Display CPU information,92.0,Get-WmiObject -Class Win32_Processor,dir,Get-ChildItem -Name,3,1,Get-WmiObject -Class Win32_Processor,Failed,1.1,2.3,4.3,1.2,7.8,0,No,LLM,Command generation error
T059,P03,19,3,Create a virtual machine,Create a virtual machine,Create a virtual machine,82.8,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",netstat,Get-NetTCPConnection,1,2,dir,Failed,0.5,2.9,4.0,1.0,7.9,0,No,LLM,Command generation error
T060,P03,20,1,Display system uptime,Display ... system uptime,Display system uptime,88.2,Get-ComputerInfo | Select-Object LastBootUpTime,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-ComputerInfo | Select-Object LastBootUpTime,Success,0.4,2.2,5.2,1.0,8.4,0,No,None,None
T061,P04,1,1,Display system uptime,Display system uptime,Display system uptime,88.8,Get-ComputerInfo | Select-Object LastBootUpTime,systeminfo,Get-ComputerInfo,1,1,Get-ComputerInfo | Select-Object LastBootUpTime,Success,0.3,3.1,4.2,1.4,8.7,0,No,None,None
T062,P04,2,3,Set environment variable for session,Set environment variable for session,Set environment variable for session,72.9,$env:MY_VAR = 'value',whoami,Get-LocalUser,2,1,$env:MY_VAR = 'value',Failed,1.4,1.9,4.6,1.3,7.8,0,No,Other,Unexpected system error
T063,P04,3,3,Create a virtual machine,Create a virtual machine,Create a virtual machine,76.2,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",dir,Get-ChildItem -Name,3,2,dir,Failed,1.0,3.0,4.5,1.7,9.2,2,Yes,LLM,Command generation error
T064,P04,4,3,Configure IIS website,Configure IIS website,Configure IIS website,77.2,"Import-Module WebAdministration; New-Website -Name ""MySite"" -Port 80 -PhysicalPath ""C:\inetpub\wwwroot""",Set-LoGet-Contentionir,Clear-Host,1,2,dir,Failed,1.5,2.6,4.1,2.1,8.8,0,Yes,Environment,System environment error
T065,P04,5,1,List USB devices,List USB devices,List USB devices,75.3,Get-WmiObject -Class Win32_USBControllerDevice,netstat,Get-NetTCPConnection,3,2,dir,Failed,1.2,2.5,5.2,1.4,9.1,3,Yes,ASR,Speech recognition error
T066,P04,6,1,Show system services,Display system services,Show system services,84.2,Get-Service,systeminfo,Get-ComputerInfo,3,1,Get-Service,Failed,0.3,2.8,4.6,2.0,9.4,0,Yes,LLM,Command generation error
T067,P04,7,3,Create a self-signed certificate,Make ... a self-signed certificate,Create a self-signed certificate,72.7,"New-SelfSignedCertificate -DnsName ""localhost"" -CertStoreLocation ""Cert:\LocalMachine\My""",hostname,Get-ComputerInfo | Select-Object Name,2,3,Get-ChildItem -Force,Failed,0.9,2.0,5.0,1.9,8.9,0,No,ASR,Speech recognition error
T068,P04,8,3,Configure group policy,Configure group policy,Configure group policy,79.2,gpupdate /force,dir,Get-ChildItem -Name,2,1,gpupdate /force,Failed,1.2,1.9,3.7,1.4,7.0,1,No,ASR,Speech recognition error
T069,P04,9,3,Show memory usage,Show memory usage,Show memory usage,92.5,Get-WmiObject -Class Win32_OperatingSystem,Set-LoGet-Contentionir,Clear-Host,1,2,dir,Success,0.6,3.1,3.6,1.2,7.9,0,No,None,None
T070,P04,10,2,Terminate a process by ID,Terminate a process by ID,Terminate a process by ID,91.2,Stop-Process -Id 1234,dir,Get-ChildItem -Name,1,1,Stop-Process -Id 1234,Success,0.8,2.0,4.1,1.1,7.2,0,No,None,None
T071,P04,11,1,Show task scheduler,Show task scheduler,Show task scheduler,96.0,Get-ScheduledTask,whoami,Get-LocalUser,1,1,Get-ScheduledTask,Success,1.4,1.8,4.1,1.8,7.7,0,No,None,None
T072,P04,12,2,Uninstall a program,Uninstall ... a program,Uninstall a program,74.9,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",Set-LoGet-Contention,Get-LoGet-Contention,1,1,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",Failed,0.6,2.3,4.5,1.0,7.8,0,No,Environment,System environment error
T073,P04,13,2,Copy a file to backup location,Copy a file to backup location,Copy a file to backup location,89.4,"Copy-Item ""file.txt"" ""backup\file.txt""",dir,Get-ChildItem -Name,1,1,"Copy-Item ""file.txt"" ""backup\file.txt""",Success,0.3,2.1,4.7,1.2,8.0,0,No,None,None
T074,P04,14,2,Search for text in all files,Search for text in all files,Search for text in all files,94.0,"Select-String -Path ""*.txt"" -Pattern ""search_text""",tasklist,Get-Process,1,1,"Select-String -Path ""*.txt"" -Pattern ""search_text""",Success,0.8,2.9,4.2,1.0,8.1,0,No,None,None
T075,P04,15,1,Display CPU information,Display CPU info,Display CPU information,96.6,Get-WmiObject -Class Win32_Processor,hostname,Get-ComputerInfo | Select-Object Name,1,1,Get-WmiObject -Class Win32_Processor,Success,0.6,2.4,4.6,0.9,7.9,0,No,None,None
T076,P04,16,2,Rename all files with specific extension,Rename all files with specific extension,Rename all files with specific extension,96.3,"Get-ChildItem -Filter ""*.txt"" | ForEach-Object {Rename-Item $_.Name ($_.BaseName + "".bak"")}",date,Get-Date,1,2,dir,Success,0.8,2.4,5.1,1.3,8.8,0,No,None,None
T077,P04,17,1,Show user account details,Show user account details,Show user account details,89.9,Get-LocalUser,systeminfo,Get-ComputerInfo,1,2,dir,Success,0.9,2.9,3.7,1.6,8.2,0,No,None,None
T078,P04,18,2,Rename a file,Rename a file,Rename a file,80.6,"Rename-Item ""oldname.txt"" ""newname.txt""",systeminfo,Get-ComputerInfo,3,2,dir,Failed,1.4,2.0,5.2,0.9,8.1,0,No,ASR,Speech recognition error
T079,P04,19,1,Show printer information,Show printer information,Show printer information,95.2,Get-WmiObject -Class Win32_Printer,date,Get-Date,1,1,Get-WmiObject -Class Win32_Printer,Success,0.6,2.0,3.7,1.4,7.1,0,No,None,None
T080,P04,20,2,Change file extensions in batch,Change file extensions in batch,Change file extensions in batch,94.8,"Get-ChildItem -Filter ""*.txt"" | ForEach-Object {Rename-Item $_.Name ($_.BaseName + "".bak"")}",netstat,Get-NetTCPConnection,1,1,"Get-ChildItem -Filter ""*.txt"" | ForEach-Object {Rename-Item $_.Name ($_.BaseName + "".bak"")}",Success,1.0,1.9,5.5,1.9,9.3,0,No,None,None
T081,P05,1,2,Create a new directory called test,Create a new dir called test,Create a new directory called test,85.8,"New-Item -ItemType Directory -Name ""test""",whoami,Get-LocalUser,1,1,"New-Item -ItemType Directory -Name ""test""",Success,0.7,2.3,5.7,1.7,9.7,0,No,None,None
T082,P05,2,3,Monitor CPU usage for 30 seconds,Monitor CPU usage for 30 um seconds,Monitor CPU usage for 30 seconds,90.8,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,ipconfig,Get-NetIPConfiguration,1,1,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,Success,1.0,2.8,5.1,1.5,9.4,0,No,None,None
T083,P05,3,1,Display system date and time,Display system date and time,Display system date and time,97.2,Get-Date,date,Get-Date -Format 'yyyy-MM-dd',1,1,Get-Date,Success,0.9,2.5,4.7,1.8,9.0,0,No,None,None
T084,P05,4,1,List sound devices,List sound devices,List sound devices,96.0,Get-WmiObject -Class Win32_SoundDevice,netstat,Get-NetTCPConnection,1,1,Get-WmiObject -Class Win32_SoundDevice,Success,0.3,2.7,5.6,1.7,10.0,0,No,None,None
T085,P05,5,2,Count lines in file,Count lines in a specific file,Count lines in a specific file,87.0,Get-Content file.txt | Measure-Object -Line,Set-LoGet-Contentionir,Clear-Host,1,2,dir,Success,1.4,2.1,5.7,1.8,9.6,0,No,None,None
T086,P05,6,1,List startup programs,List startup programs,List startup programs,93.5,Get-CimInstance Win32_StartupCommand,netstat,Get-NetTCPConnection,1,1,Get-CimInstance Win32_StartupCommand,Success,1.0,2.4,3.9,1.1,7.4,0,No,None,None
T087,P05,7,2,Delete a non-empty directory,Delete a non-empty dir,Delete a non-empty directory,85.1,"Remove-Item ""directory"" -Recurse -Force",Set-LoGet-Contentionir,Clear-Host,1,2,dir,Success,1.3,2.0,4.5,1.5,8.0,0,No,None,None
T088,P05,8,2,Show installed updates,Show installed updates,Show installed updates,80.0,Get-HotFix | Sort-Object InstalledOn -Descending,whoami,Get-LocalUser,2,2,dir,Failed,0.3,1.9,4.0,1.2,7.1,0,Yes,LLM,Command generation error
T089,P05,9,1,Show keyboard layout,Show keyboard layout,Show keyboard layout,87.1,Get-WinUserLanguageList,tasklist,Get-Process,1,1,Get-WinUserLanguageList,Success,0.9,1.9,4.1,1.9,7.9,0,No,None,None
T090,P05,10,2,Create file shortcut,Create symbolic link to file,Create symbolic link to file,85.4,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",netstat,Get-NetTCPConnection,1,1,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Success,0.9,3.1,4.9,0.8,8.8,0,No,None,None
T091,P05,11,2,Terminate a process by ID,Terminate a process by ID,Terminate a process by ID,92.6,Stop-Process -Id 1234,systeminfo,Get-ComputerInfo,1,1,Stop-Process -Id 1234,Success,0.9,1.9,5.7,0.9,8.5,0,No,None,None
T092,P05,12,1,Display CPU information,Display CPU information,Display CPU information,87.2,Get-WmiObject -Class Win32_Processor,whoami,Get-LocalUser,1,1,Get-WmiObject -Class Win32_Processor,Success,1.0,2.9,4.3,1.8,9.0,0,No,None,None
T093,P05,13,1,Show Windows version,Show Windows version,Show Windows version,89.3,Get-ComputerInfo | Select-Object WindowsProductName,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-ComputerInfo | Select-Object WindowsProductName,Success,1.0,2.9,4.6,1.7,9.2,0,No,None,None
T094,P05,14,3,Perform system audit,Perform system audit,Perform system audit,84.1,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",whoami,Get-LocalUser,1,2,tasklist,Success,0.8,2.2,4.4,1.9,8.5,0,No,None,None
T095,P05,15,3,Set environment variable for session,Set env variable for session,Set environment variable for session,79.1,$env:MY_VAR = 'value',hostname,Get-ComputerInfo | Select-Object Name,3,2,dir,Failed,0.8,3.1,4.4,2.1,9.6,0,No,User,User aborted execution
T096,P05,16,2,Show network adapters,Show network adapters,Show network adapters,88.3,Get-NetAdapter,ipconfig,Get-NetIPConfiguration,1,2,dir,Success,1.1,2.3,4.2,1.4,7.9,0,No,None,None
T097,P05,17,3,Set up VPN connection,Set ... up VPN connection,Set up VPN connection,75.4,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",whoami,Get-LocalUser,2,2,dir,Failed,0.9,1.9,5.0,1.3,8.2,1,Yes,ASR,Speech recognition error
