Error_ID,Trial_ID,Participant_ID,Task_Difficulty,Task_Description,Error_Category,Error_Type,Error_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Final_Command,User_Action,Recoverable,Preventable,Severity,Root_Cause,Prevention_Strategy
E011,T011,P16,1,Show system language,LLM,Command_Generation_Error,LLM suggested command that would fail due to permissions,Display system language,Show system language,81.4,Get-WinSystemLocale,dir,Get-ChildItem -Force,Get-WinSystemLocale,Restarted the application and tried again,Yes,Yes,Medium,Network connectivity was unstable during execution,Provide clearer error messages to users
E012,T012,P10,3,Encrypt a file,LLM,Command_Generation_Error,LLM suggested command that requires additional setup,Encrypt a file,Encrypt a file,92.1,"Cipher /E ""file.txt""",dir,Get-ChildItem -Force,"Cipher /E ""file.txt""",Used the Windows GUI instead of command line,Yes,Yes,Low,Hardware driver conflict caused system instability,Add system resource availability checking
E013,T013,P14,3,Set firewall rules,LLM,Command_Generation_Error,Generated command used deprecated Windows commands,Configure firewall rules,Configure firewall rules,80.4,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",dir,Get-ChildItem -Force,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",Restarted the application and tried again,Yes,Yes,Low,Network connectivity was unstable during execution,Provide user training on proper command usage
E014,T014,P12,2,Find files larger than 10MB,LLM,Command_Generation_Error,Model suggested a command requiring administrator privileges,Find files larger than 10MB,Find files larger than 10MB,82.7,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},dir,Get-ChildItem -Force,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},Used a different approach to accomplish the same task,Yes,Yes,Low,System was in a restricted execution environment,Add system compatibility checking before execution
E015,T015,P24,1,Show battery status,LLM,Command_Generation_Error,LLM suggested command that would fail due to permissions,Show battery status,Show battery status,83.8,Get-WmiObject -Class Win32_Battery,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_Battery,Restarted the application and tried again,Yes,Yes,Low,System resources were exhausted by other processes,Provide clearer error messages to users
E016,T016,P14,3,Set environment variable for session,LLM,Command_Generation_Error,Model provided command with incorrect pipeline syntax,Set environment variable for session,Set environment variable for session,95.7,$env:MY_VAR = 'value',dir,Get-ChildItem -Force,$env:MY_VAR = 'value',Asked for help from the study supervisor,Yes,Yes,Low,Hardware driver conflict caused system instability,Improve network connectivity monitoring
E017,T017,P17,3,Set firewall rules,LLM,Command_Generation_Error,LLM suggested command that would fail due to permissions,Configure firewall rules,Configure firewall rules,84.3,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",dir,Get-ChildItem -Force,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",Cleared the command history and retried,Yes,Yes,High,Antivirus software interfered with command execution,Add system compatibility checking before execution
E018,T018,P10,1,Display system architecture,LLM,Command_Generation_Error,Generated command uses wrong file path format,Display system architecture,Display system architecture,94.1,Get-WmiObject -Class Win32_OperatingSystem | Select-Object OSArchitecture,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_OperatingSystem | Select-Object OSArchitecture,Ran the command with administrator privileges,Yes,Yes,Low,System service dependency was not available,Provide clearer error messages to users
E019,T019,P07,2,Backup files modified today,LLM,Command_Generation_Error,Model suggested a dangerous command that could modify system files,Backup files modified today,Backup files modified today,92.7,"Get-ChildItem | Where-Object {$_.LastWriteTime.Date -eq (Get-Date).Date} | Copy-Item -Destination ""backup\""",dir,Get-ChildItem -Force,"Get-ChildItem | Where-Object {$_.LastWriteTime.Date -eq (Get-Date).Date} | Copy-Item -Destination ""backup\""",Used the Windows GUI instead of command line,Yes,Yes,High,Windows security policy blocked the operation,Improve network connectivity monitoring
E020,T020,P09,2,Search for processes by name,LLM,Command_Generation_Error,Model suggested wrong command for the task,Search for process by name,Search for processes by name,75.0,"Get-Process -Name ""processname""",dir,Get-ChildItem -Force,"Get-Process -Name ""processname""",Used a different approach to accomplish the same task,Yes,Yes,High,User account lacked necessary permissions,Add command validation before execution
E021,T021,P24,1,Show firewall status,LLM,Command_Generation_Error,LLM suggested command that requires additional setup,Display firewall status,Show firewall status,88.2,Get-NetFirewallProfile,dir,Get-ChildItem -Force,Get-NetFirewallProfile,Checked file permissions and corrected the path,Yes,Yes,High,User account lacked necessary permissions,Provide clearer error messages to users
E022,T022,P06,1,Display screen resolution,LLM,Command_Generation_Error,Model provided command that conflicts with system settings,Display screen resolution,Display screen resolution,96.5,Get-WmiObject -Class Win32_VideoController,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_VideoController,Used a simpler alternative command that worked,Yes,Yes,Medium,User account lacked necessary permissions,Implement better noise cancellation for ASR
E023,T023,P25,3,Perform system audit,LLM,Command_Generation_Error,Generated command uses wrong file path format,Perform system audit,Perform system audit,76.2,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",dir,Get-ChildItem -Force,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",Cleared the command history and retried,Yes,Yes,Medium,System service dependency was not available,Add command validation before execution
E024,T024,P24,3,Create a self-signed certificate,LLM,Command_Generation_Error,Model provided command that conflicts with system settings,Create a self-signed certificate,Create a self-signed certificate,83.0,"New-SelfSignedCertificate -DnsName ""localhost"" -CertStoreLocation ""Cert:\LocalMachine\My""",dir,Get-ChildItem -Force,"New-SelfSignedCertifiGet-Contente -DnsName ""localhost"" -CertStoreLoGet-Contention ""Cert:\LocalMachine\My""",Used a simpler alternative command that worked,Yes,Yes,High,Hardware driver conflict caused system instability,Provide clearer error messages to users
E025,T025,P09,2,Show open ports,LLM,Command_Generation_Error,LLM provided a command that doesn't exist in Windows,Display open ports,Show open ports,80.3,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",dir,Get-ChildItem -Force,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",Skipped the task and moved to the next one,Yes,Yes,Low,Antivirus software interfered with command execution,Improve network connectivity monitoring
E026,T026,P05,1,Display time zone,LLM,Command_Generation_Error,Generated command would cause infinite loop,Display time zone,Display time zone,75.3,Get-TimeZone,dir,Get-ChildItem -Force,Get-TimeZone,Checked file permissions and corrected the path,Yes,Yes,Low,System service dependency was not available,Add command validation before execution
E027,T027,P03,2,Find files by name pattern,LLM,Command_Generation_Error,LLM suggested command that requires additional setup,Find files by name pattern,Find files by name pattern,81.0,"Get-ChildItem -Recurse -Name ""*pattern*""",dir,Get-ChildItem -Force,"Get-ChildItem -Recurse -Name ""*pattern*""",Checked file permissions and corrected the path,Yes,Yes,Medium,System resources were exhausted by other processes,Implement fallback commands for common failures
E028,T028,P25,3,Set up VPN connection,LLM,Command_Generation_Error,Model suggested a command requiring administrator privileges,Set up VPN connection,Set up VPN connection,89.8,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",dir,Get-ChildItem -Force,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",Used a simpler alternative command that worked,Yes,Yes,Low,System service dependency was not available,Implement better noise cancellation for ASR
E029,T029,P22,1,Clear the screen,LLM,Command_Generation_Error,LLM provided a command that doesn't exist in Windows,Clear the screen,Clear the screen,93.5,Clear-Host,dir,Get-ChildItem -Force,Clear-Host,Ran the command with administrator privileges,Yes,Yes,High,Hardware driver conflict caused system instability,Add user permission checking before execution
E030,T030,P23,3,Create system maintenance script,LLM,Command_Generation_Error,Generated command had wrong parameter order,Create system maintenance script,Create system maintenance script,84.2,"New-Item -ItemType File -Path ""maintenance.ps1""; Add-Content ""maintenance.ps1"" ""Get-ChildItem C:\ -Recurse | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Remove-Item -Force""",dir,Get-ChildItem -Force,"New-Item -ItemType File -Path ""maintenance.ps1""; Add-Content ""maintenance.ps1"" ""Get-ChildItem C:\ -Recurse | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Remove-Item -Force""",Used a simpler alternative command that worked,Yes,Yes,Medium,Hardware driver conflict caused system instability,Provide clearer error messages to users
E031,T031,P07,3,Automate software installation,LLM,Command_Generation_Error,Generated command would cause infinite loop,Automate software installation,Automate software installation,91.1,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",dir,Get-ChildItem -Force,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",Restarted the application and tried again,Yes,Yes,Low,PowerShell execution policy prevented script running,Improve network connectivity monitoring
E032,T032,P14,2,Create a new directory called test,LLM,Command_Generation_Error,Model generated command with invalid PowerShell operators,Create a new direct called test,Create a new directory called test,97.8,"New-Item -ItemType Directory -Name ""test""",dir,Get-ChildItem -Force,"New-Item -ItemType Directory -Name ""test""",Used a simpler alternative command that worked,Yes,Yes,Low,Network connectivity was unstable during execution,Add command validation before execution
E033,T033,P07,1,Display computer name,LLM,Command_Generation_Error,Generated command used wrong object properties,Display computer name,Display computer name,95.2,hostname,dir,Get-ChildItem -Force,hostname,Ran the command with administrator privileges,Yes,Yes,High,Registry corruption prevented proper command execution,Provide clearer error messages to users
E034,T034,P09,1,List system drivers,LLM,Command_Generation_Error,Generated command would cause infinite loop,List system drivers,List system drivers,97.1,Get-WmiObject -Class Win32_SystemDriver,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_SystemDriver,Used the Windows GUI instead of command line,Yes,Yes,High,User account lacked necessary permissions,Add system compatibility checking before execution
E035,T035,P04,3,Create a self-signed certificate,LLM,Command_Generation_Error,Model provided command that conflicts with system settings,Create a self-signed certificate,Create a self-signed certificate,94.8,"New-SelfSignedCertificate -DnsName ""localhost"" -CertStoreLocation ""Cert:\LocalMachine\My""",dir,Get-ChildItem -Force,"New-SelfSignedCertifiGet-Contente -DnsName ""localhost"" -CertStoreLoGet-Contention ""Cert:\LocalMachine\My""",Used a simpler alternative command that worked,Yes,Yes,Low,System resources were exhausted by other processes,Implement better noise cancellation for ASR
E036,T036,P08,3,Encrypt a file,LLM,Command_Generation_Error,Generated command uses wrong file path format,Encrypt a file,Encrypt a file,80.0,"Cipher /E ""file.txt""",dir,Get-ChildItem -Force,"Cipher /E ""file.txt""",Manually typed the correct PowerShell command,Yes,Yes,Low,User account lacked necessary permissions,Add system compatibility checking before execution
E037,T037,P09,2,Show file permissions,LLM,Command_Generation_Error,LLM suggested command that requires additional setup,Show file permissions,Show file permissions,84.1,"Get-Acl ""file.txt""",dir,Get-ChildItem -Force,"Get-Acl ""file.txt""",Restarted the application and tried again,Yes,Yes,High,System was in a restricted execution environment,Add system resource availability checking
E038,T038,P05,1,Show available drives,LLM,Command_Generation_Error,LLM suggested command that requires additional setup,Show available drives,Show available drives,91.2,Get-WmiObject -Class Win32_LogicalDisk,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_LogicalDisk,Used a different approach to accomplish the same task,Yes,Yes,Medium,Antivirus software interfered with command execution,Add user permission checking before execution
E039,T039,P23,1,Display system uptime,LLM,Command_Generation_Error,LLM suggested command that would cause system instability,Display system uptime,Display system uptime,97.0,Get-ComputerInfo | Select-Object LastBootUpTime,dir,Get-ChildItem -Force,Get-ComputerInfo | Select-Object LastBootUpTime,Manually typed the correct PowerShell command,Yes,Yes,Medium,System service dependency was not available,Implement better noise cancellation for ASR
E040,T040,P11,3,Automate software installation,LLM,Command_Generation_Error,LLM provided incomplete command missing required arguments,Automate software installation,Automate software installation,84.3,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",dir,Get-ChildItem -Force,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",Used a different approach to accomplish the same task,Yes,Yes,High,System resources were exhausted by other processes,Improve network connectivity monitoring
E041,T041,P04,1,Show available drives,LLM,Command_Generation_Error,LLM suggested command that would fail due to permissions,Show available drives,Show available drives,92.2,Get-WmiObject -Class Win32_LogicalDisk,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_LogicalDisk,Used a different approach to accomplish the same task,Yes,Yes,Low,Windows security policy blocked the operation,Add system resource availability checking
E042,T042,P18,1,List USB devices,LLM,Command_Generation_Error,LLM suggested command that would fail due to permissions,List USB devices,List USB devices,91.2,Get-WmiObject -Class Win32_USBControllerDevice,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_USBControllerDevice,Used the Windows GUI instead of command line,Yes,Yes,Medium,System was in a restricted execution environment,Implement fallback commands for common failures
E043,T043,P04,3,Perform system audit,LLM,Command_Generation_Error,Model provided command with incorrect flag combinations,Perform system audit,Perform system audit,88.2,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",dir,Get-ChildItem -Force,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",Ran the command with administrator privileges,Yes,Yes,Low,Network connectivity was unstable during execution,Improve network connectivity monitoring
E044,T044,P11,3,Perform system audit,LLM,Command_Generation_Error,Generated command used wrong object properties,Perform system audit,Perform system audit,82.4,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",dir,Get-ChildItem -Force,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",Skipped the task and moved to the next one,Yes,Yes,Medium,PowerShell execution policy prevented script running,Improve network connectivity monitoring
E045,T045,P23,1,Show system services,LLM,Command_Generation_Error,Generated command used deprecated PowerShell cmdlet,Display system services,Show system services,96.1,Get-Service,dir,Get-ChildItem -Force,Get-Service,Used a simpler alternative command that worked,Yes,Yes,High,System was in a restricted execution environment,Add system compatibility checking before execution
E046,T046,P11,2,Find files larger than 10MB,LLM,Command_Generation_Error,Model provided command with incorrect flag combinations,Find files larger than 10MB,Find files larger than 10MB,95.0,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},dir,Get-ChildItem -Force,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},Restarted the application and tried again,Yes,Yes,High,Registry corruption prevented proper command execution,Add system compatibility checking before execution
E047,T047,P23,1,Show Windows update history,LLM,Command_Generation_Error,LLM suggested command that would cause system instability,Show Windows update history,Show Windows update history,88.1,Get-HotFix,dir,Get-ChildItem -Force,Get-HotFix,Manually typed the correct PowerShell command,Yes,Yes,Low,Windows security policy blocked the operation,Add user permission checking before execution
E048,T048,P24,3,Create a virtual machine,LLM,Command_Generation_Error,Generated command had incorrect PowerShell syntax,Create a virtual machine,Create a virtual machine,80.3,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",dir,Get-ChildItem -Force,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",Ran the command with administrator privileges,Yes,Yes,Low,Hardware driver conflict caused system instability,Improve network connectivity monitoring
E049,T049,P10,1,Display help for dir command,LLM,Command_Generation_Error,Model provided command that conflicts with system settings,Display help for dir command,Display help for dir command,92.9,Get-Help dir,dir,Get-ChildItem -Force,Get-Help dir,Checked file permissions and corrected the path,Yes,Yes,High,Hardware driver conflict caused system instability,Improve network connectivity monitoring
E050,T050,P02,3,Configure group policy,LLM,Command_Generation_Error,Generated command used deprecated Windows commands,Configure group policy,Configure group policy,93.9,gpupdate /force,dir,Get-ChildItem -Force,gpupdate /force,Manually typed the correct PowerShell command,Yes,Yes,Medium,System was in a restricted execution environment,Implement better command suggestion filtering
E051,T051,P18,1,Display current user,LLM,Command_Generation_Error,Model provided command with incorrect flag combinations,Display current user,Display current user,86.9,whoami,dir,Get-ChildItem -Force,whoami,Used the Windows GUI instead of command line,Yes,Yes,Low,User account lacked necessary permissions,Implement better noise cancellation for ASR
E052,T052,P23,1,Display current user,LLM,Command_Generation_Error,Model suggested wrong command for the task,Display current user,Display current user,88.5,whoami,dir,Get-ChildItem -Force,whoami,Cleared the command history and retried,Yes,Yes,High,User account lacked necessary permissions,Add system compatibility checking before execution
E053,T053,P12,3,Monitor CPU usage for 30 seconds,LLM,Command_Generation_Error,Generated command used deprecated Windows commands,Monitor CPU usage for 30 seconds,Monitor CPU usage for 30 seconds,83.5,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,dir,Get-ChildItem -Force,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,Used a different approach to accomplish the same task,Yes,Yes,High,Network connectivity was unstable during execution,Add system compatibility checking before execution
E054,T054,P19,1,Show current working directory,LLM,Command_Generation_Error,Model provided command with incorrect pipeline syntax,Show current working direct,Show current working directory,88.2,Get-Location,dir,Get-ChildItem -Force,Get-LoGet-Contention,Manually typed the correct PowerShell command,Yes,Yes,Low,Registry corruption prevented proper command execution,Implement better noise cancellation for ASR
E055,T055,P12,3,Automate software installation,LLM,Command_Generation_Error,Model suggested a dangerous command that could modify system files,Automate software installation,Automate software installation,76.9,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",dir,Get-ChildItem -Force,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",Skipped the task and moved to the next one,Yes,Yes,Low,Network connectivity was unstable during execution,Implement better command suggestion filtering
E056,T056,P09,3,Encrypt a file,ASR,Speech_Recognition_Error,Room acoustics caused audio distortion,Encrypt a file,Encrypt a file,79.9,"Cipher /E ""file.txt""",dir,Get-ChildItem -Force,"Cipher /E ""file.txt""",Used the Windows GUI instead of command line,Yes,Yes,Medium,Hardware driver conflict caused system instability,Provide clearer error messages to users
E057,T057,P02,2,Move files older than 30 days,ASR,Speech_Recognition_Error,User spoke with food in mouth affecting clarity,Move files older than 30 days,Move files older than 30 days,72.6,"Get-ChildItem | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Move-Item -Destination ""archive\""",dir,Get-ChildItem -Force,"Get-ChildItem | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Move-Item -Destination ""archive\""",Ran the command with administrator privileges,Yes,Yes,High,Network connectivity was unstable during execution,Add command validation before execution
E058,T058,P19,1,Show memory usage,ASR,Speech_Recognition_Error,User spoke while moving causing audio distortion,Show memory usage,Show memory usage,61.0,Get-WmiObject -Class Win32_OperatingSystem,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_OperatingSystem,Ran the command with administrator privileges,Yes,Yes,Medium,User account lacked necessary permissions,Implement fallback commands for common failures
E059,T059,P12,1,Show battery status,ASR,Speech_Recognition_Error,Microphone sensitivity was too low for quiet words,Display battery status,Show battery status,70.0,Get-WmiObject -Class Win32_Battery,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_Battery,Used the Windows GUI instead of command line,Yes,Yes,Medium,Hardware driver conflict caused system instability,Implement better noise cancellation for ASR
E060,T060,P05,1,Show user account details,ASR,Speech_Recognition_Error,User spoke with mouth too close to microphone,Display user account details,Show user account details,67.5,Get-LocalUser,dir,Get-ChildItem -Force,Get-LocalUser,Used the Windows GUI instead of command line,Yes,Yes,Low,User account lacked necessary permissions,Provide user training on proper command usage
E061,T061,P17,2,Rename all files with specific extension,ASR,Speech_Recognition_Error,Background TV noise interfered with speech recognition,Rename all files with specific extension,Rename all files with specific extension,81.5,"Get-ChildItem -Filter ""*.txt"" | ForEach-Object {Rename-Item $_.Name ($_.BaseName + "".bak"")}",dir,Get-ChildItem -Force,"Get-ChildItem -Filter ""*.txt"" | ForEach-Object {Rename-Item $_.Name ($_.BaseName + "".bak"")}",Skipped the task and moved to the next one,Yes,Yes,Medium,Antivirus software interfered with command execution,Provide user training on proper command usage
E062,T062,P07,1,Show active network connections,ASR,Speech_Recognition_Error,User coughed during speech causing words to be omitted,Show active network connections,Show active network connections,62.7,Get-NetTCPConnection,dir,Get-ChildItem -Force,Get-NetTCPConnection,Used a different approach to accomplish the same task,Yes,Yes,High,System service dependency was not available,Implement fallback commands for common failures
E063,T063,P13,2,Create a new directory called test,ASR,Speech_Recognition_Error,Microphone sensitivity was too low for quiet words,Create a new direct called test,Create a new directory called test,75.4,"New-Item -ItemType Directory -Name ""test""",dir,Get-ChildItem -Force,"New-Item -ItemType Directory -Name ""test""",Used a simpler alternative command that worked,Yes,Yes,High,System resources were exhausted by other processes,Add user permission checking before execution
E064,T064,P21,1,List recent files,ASR,Speech_Recognition_Error,Background traffic noise interfered with recording,List recent files,List recent files,79.4,Get-ChildItem -Path $env:USERPROFILE\Recent,dir,Get-ChildItem -Force,Get-ChildItem -Path $env:USERPROFILE\Recent,Asked for help from the study supervisor,Yes,Yes,Low,Hardware driver conflict caused system instability,Add user permission checking before execution
E065,T065,P20,2,Show file permissions,ASR,Speech_Recognition_Error,Background noise interfered with speech recognition,Show file permissions,Show file permissions,60.1,"Get-Acl ""file.txt""",dir,Get-ChildItem -Force,"Get-Acl ""file.txt""",Skipped the task and moved to the next one,Yes,Yes,High,Registry corruption prevented proper command execution,Provide clearer error messages to users
E066,T066,P11,1,Display CPU information,ASR,Speech_Recognition_Error,Microphone had intermittent connection issues,Display CPU information,Display CPU information,81.5,Get-WmiObject -Class Win32_Processor,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_Processor,Used a different approach to accomplish the same task,Yes,Yes,Low,Hardware driver conflict caused system instability,Implement better command suggestion filtering
E067,T067,P02,2,Uninstall a program,ASR,Speech_Recognition_Error,Background TV noise interfered with speech recognition,Uninstall a program,Uninstall a program,84.0,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",dir,Get-ChildItem -Force,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",Restarted the application and tried again,Yes,Yes,Low,User account lacked necessary permissions,Add command validation before execution
E068,T068,P06,2,Create a new directory called test,ASR,Speech_Recognition_Error,Background music interfered with speech recognition,Create a new direct called test,Create a new directory called test,73.3,"New-Item -ItemType Directory -Name ""test""",dir,Get-ChildItem -Force,"New-Item -ItemType Directory -Name ""test""",Skipped the task and moved to the next one,Yes,Yes,Low,Hardware driver conflict caused system instability,Implement fallback commands for common failures
E069,T069,P19,2,Find all text files in current directory,ASR,Speech_Recognition_Error,Technical terminology not in Whisper's vocabulary,Find all text files in current direct,Find all text files in current directory,71.7,"Get-ChildItem -Filter ""*.txt""",dir,Get-ChildItem -Force,"Get-ChildItem -Filter ""*.txt""",Restarted the application and tried again,Yes,Yes,Medium,System service dependency was not available,Add system resource availability checking
E070,T070,P24,3,Encrypt a file,ASR,Speech_Recognition_Error,User coughed during speech causing words to be omitted,Encrypt a file,Encrypt a file,73.9,"Cipher /E ""file.txt""",dir,Get-ChildItem -Force,"Cipher /E ""file.txt""",Skipped the task and moved to the next one,Yes,Yes,Low,User account lacked necessary permissions,Improve network connectivity monitoring
E071,T071,P15,3,Deploy a web application,ASR,Speech_Recognition_Error,User spoke with food in mouth affecting clarity,Deploy a web application,Deploy a web application,66.2,"New-Item -ItemType Directory -Path ""C:\inetpub\wwwroot\app""; Copy-Item ""app_files\*"" ""C:\inetpub\wwwroot\app\"" -Recurse",dir,Get-ChildItem -Force,"New-Item -ItemType Directory -Path ""C:\inetpub\wwwroot\app""; Copy-Item ""app_files\*"" ""C:\inetpub\wwwroot\app\"" -Recurse",Manually typed the correct PowerShell command,Yes,Yes,Low,System service dependency was not available,Implement fallback commands for common failures
