Task_ID,Natural_Language_Command,Windows_Command,Difficulty_Level,Difficulty_Category,Description
VS064,Find recent processes,Get-Process | Where-Object {$_.StartTime -gt (Get-Date).AddHours(-1)},3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS065,Find processes by window,Get-Process | Where-Object {$_.MainWindowTitle -like '*Notepad*'},3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS066,Find web connections,Get-NetTCPConnection -LocalPort 80 -State Established,3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS067,Find listening ports,Get-NetTCPConnection -State Listen,3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS068,Find connections to IP,Get-NetTCPConnection | Where-Object {$_.RemoteAddress -eq '8.8.8.8'},3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS069,Check memory usage,"Get-WmiObject -Class Win32_OperatingSystem | Select-Object @{Name='TotalMB';Expression={[math]::Round($_.TotalVisibleMemorySize/1024,2)}}",3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS070,Show disk space,"Get-WmiObject -Class Win32_LogicalDisk | Select-Object DeviceID, @{Name='SizeGB';Expression={[math]::Round($_.Size/1GB,2)}}, @{Name='FreeGB';Expression={[math]::Round($_.FreeSpace/1GB,2)}}",3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS071,Search logs for text,Get-ChildItem -Recurse -Filter '*.log' | Select-String -Pattern 'error',3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS072,Count words in file,Get-Content file.txt | Measure-Object -Word,3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS073,Find errors in logs,Get-ChildItem -Filter '*.log' | Get-Content | Select-String 'ERROR',3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS074,Show first lines of file,Get-Content largefile.txt -TotalCount 10,3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS075,Find duplicate files,Get-ChildItem -Recurse -File | Group-Object Length | Where-Object {$_.Count -gt 1},3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS076,Show startup programs,Get-ItemProperty -Path 'HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run',3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS077,Show Windows version details,"Get-ComputerInfo | Select-Object WindowsProductName, WindowsVersion, WindowsBuildLabEx",3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS078,Show .NET versions,Get-ChildItem 'HKLM:\SOFTWARE\Microsoft\NET Framework Setup\NDP' -Recurse | Get-ItemProperty -Name version -EA 0 | Where-Object {$_.PSChildName -match '^(?!S)\p{L}'},3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS079,Show enabled Windows features,Get-WindowsOptionalFeature -Online | Where-Object {$_.State -eq 'Enabled'},3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS080,Show environment variables,Get-ChildItem Env: | Sort-Object Name,3,Hard,"Complex command with multiple parameters, filtering, or advanced operations"
VS081,Find all image files in current directory,"Get-ChildItem -Filter '*.jpg','*.png','*.gif','*.bmp'",2,Medium,Command with options or pipelines
VS082,Show file sizes in human readable format,"Get-ChildItem | Select-Object Name, @{Name='SizeMB';Expression={[math]::Round($_.Length/1MB,2)}}",2,Medium,Command with options or pipelines
VS083,List files created this week,Get-ChildItem | Where-Object {$_.CreationTime -gt (Get-Date).AddDays(-7)},2,Medium,Command with options or pipelines
VS084,Find files with specific extension,Get-ChildItem -Recurse -Filter '*.txt',2,Medium,Command with options or pipelines
VS085,Show running processes sorted by memory,Get-Process | Sort-Object WorkingSet -Descending,2,Medium,Command with options or pipelines
VS086,Show system info in table,Get-ComputerInfo | Format-Table,2,Medium,Command with options or pipelines
VS087,Show network connections with process names,Get-NetTCPConnection | Where-Object {$_.State -eq 'Established'} | ForEach-Object {Get-Process -Id $_.OwningProcess -ErrorAction SilentlyContinue},2,Medium,Command with options or pipelines
VS088,Find files larger than 50MB,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 50MB},2,Medium,Command with options or pipelines
VS089,List directories only,Get-ChildItem -Directory,2,Medium,Command with options or pipelines
VS090,Show files with specific name pattern,Get-ChildItem -Name '*test*',2,Medium,Command with options or pipelines
VS091,Show process CPU usage,"Get-Process | Select-Object Name, CPU, @{Name='CPU%';Expression={$_.CPU/$_.TotalProcessorTime}}",2,Medium,Command with options or pipelines
VS092,Find files modified today,Get-ChildItem | Where-Object {$_.LastWriteTime.Date -eq (Get-Date).Date},2,Medium,Command with options or pipelines
VS093,Show system services that are running,Get-Service | Where-Object {$_.Status -eq 'Running'},2,Medium,Command with options or pipelines
VS094,List files by extension,Get-ChildItem | Group-Object Extension,2,Medium,Command with options or pipelines
VS095,List network adapters,Get-NetAdapter | Where-Object {$_.Status -eq 'Up'},2,Medium,Command with options or pipelines
VS096,Find files with specific permissions,Get-ChildItem | Get-Acl | Where-Object {$_.Access -like '*FullControl*'},2,Medium,Command with options or pipelines
VS097,Show Windows features that are enabled,Get-WindowsOptionalFeature -Online | Where-Object {$_.State -eq 'Enabled'},2,Medium,Command with options or pipelines
VS098,List files sorted by access time,Get-ChildItem | Sort-Object LastAccessTime -Descending,2,Medium,Command with options or pipelines
VS099,Show files with specific size range,Get-ChildItem | Where-Object {$_.Length -gt 1MB -and $_.Length -lt 10MB},2,Medium,Command with options or pipelines
VS100,Find files between 1MB and 10MB,Get-ChildItem | Where-Object {$_.Length -gt 1MB -and $_.Length -lt 10MB},2,Medium,Command with options or pipelines
